"body_mass_value","diet_type","population"
504.97,"plant_o",10
1913.89,"inv",10
1913.89,"vend",0
1913.89,"vect",0
1913.89,"vfish",0
1913.89,"vunk",0
1913.89,"scav",0
1913.89,"fruit",10
1913.89,"nect",0
1913.89,"seed",40
1913.89,"plant_o",40
567.34,"inv",0
567.34,"vend",0
567.34,"vect",0
567.34,"vfish",0
567.34,"vunk",0
567.34,"scav",0
567.34,"fruit",0
567.34,"nect",0
567.34,"seed",20
567.34,"plant_o",80
201.86,"inv",10
201.86,"vend",0
201.86,"vect",0
201.86,"vfish",0
201.86,"vunk",0
201.86,"scav",0
201.86,"fruit",20
201.86,"nect",0
201.86,"seed",20
201.86,"plant_o",50
189.73,"inv",30
189.73,"vend",0
189.73,"vect",0
189.73,"vfish",0
189.73,"vunk",0
189.73,"scav",0
189.73,"fruit",30
189.73,"nect",0
189.73,"seed",30
189.73,"plant_o",10
1830.79,"inv",0
1830.79,"vend",0
1830.79,"vect",0
1830.79,"vfish",0
1830.79,"vunk",0
1830.79,"scav",0
1830.79,"fruit",0
1830.79,"nect",0
1830.79,"seed",0
1830.79,"plant_o",100
2508.24,"inv",0
2508.24,"vend",0
2508.24,"vect",0
2508.24,"vfish",0
2508.24,"vunk",0
2508.24,"scav",0
2508.24,"fruit",0
2508.24,"nect",0
2508.24,"seed",0
2508.24,"plant_o",100
1488.87,"inv",0
1488.87,"vend",0
1488.87,"vect",0
1488.87,"vfish",0
1488.87,"vunk",0
1488.87,"scav",0
1488.87,"fruit",0
1488.87,"nect",0
1488.87,"seed",0
1488.87,"plant_o",100
2760.43,"inv",10
2760.43,"vend",0
2760.43,"vect",0
2760.43,"vfish",0
2760.43,"vunk",0
2760.43,"scav",0
2760.43,"fruit",20
2760.43,"nect",0
2760.43,"seed",20
2760.43,"plant_o",50
2428,"inv",0
2428,"vend",0
2428,"vect",0
2428,"vfish",0
2428,"vunk",0
2428,"scav",0
2428,"fruit",20
2428,"nect",0
2428,"seed",0
2428,"plant_o",80
855.35,"inv",0
855.35,"vend",0
855.35,"vect",0
855.35,"vfish",0
855.35,"vunk",0
855.35,"scav",0
855.35,"fruit",10
855.35,"nect",0
855.35,"seed",0
855.35,"plant_o",90
1052.99,"inv",0
1052.99,"vend",0
1052.99,"vect",0
1052.99,"vfish",0
1052.99,"vunk",0
1052.99,"scav",0
1052.99,"fruit",0
1052.99,"nect",0
1052.99,"seed",0
1052.99,"plant_o",100
416.33,"inv",10
416.33,"vend",0
416.33,"vect",0
416.33,"vfish",0
416.33,"vunk",0
